country,year,oil_production_barrels,region
Vietnam,1975,, Asia Pacific
Vietnam,1976,, Asia Pacific
Vietnam,1977,, Asia Pacific
Vietnam,1978,, Asia Pacific
Vietnam,1979,, Asia Pacific
Vietnam,1980,, Asia Pacific
Vietnam,1981,, Asia Pacific
Vietnam,1982,, Asia Pacific
Vietnam,1983,, Asia Pacific
Vietnam,1984,, Asia Pacific
Vietnam,1985,, Asia Pacific
Vietnam,1986,, Asia Pacific
Vietnam,1987,5.68, Asia Pacific
Vietnam,1988,13.95, Asia Pacific
Vietnam,1989,30.21, Asia Pacific
Vietnam,1990,54.74, Asia Pacific
Vietnam,1991,80.28, Asia Pacific
Vietnam,1992,111, Asia Pacific
Vietnam,1993,127.73, Asia Pacific
Vietnam,1994,143.95, Asia Pacific
Vietnam,1995,154.49, Asia Pacific
Vietnam,1996,177.98, Asia Pacific
Vietnam,1997,204.56, Asia Pacific
Vietnam,1998,253.42, Asia Pacific
Vietnam,1999,308.51, Asia Pacific
Vietnam,2000,338.38, Asia Pacific
Vietnam,2001,353.27, Asia Pacific
Vietnam,2002,356.88, Asia Pacific
Vietnam,2003,372.85, Asia Pacific
Vietnam,2004,420.4, Asia Pacific
Vietnam,2005,389.23, Asia Pacific
Vietnam,2006,354.32, Asia Pacific
Vietnam,2007,333.64, Asia Pacific
Vietnam,2008,309.26, Asia Pacific
Vietnam,2009,341.4, Asia Pacific
Vietnam,2010,323.33, Asia Pacific
Vietnam,2011,326.56, Asia Pacific
Vietnam,2012,358.18, Asia Pacific
Vietnam,2013,358.74, Asia Pacific
Vietnam,2014,335.92, Asia Pacific
Vietnam,2015,365.35, Asia Pacific
Vietnam,2016,332.55, Asia Pacific
Vietnam,2017,298.17, Asia Pacific
Vietnam,2018,274.73, Asia Pacific
Azerbaijan,1965,, CIS
Azerbaijan,1966,, CIS
Azerbaijan,1967,, CIS
Azerbaijan,1968,, CIS
Azerbaijan,1969,, CIS
Azerbaijan,1970,, CIS
Azerbaijan,1971,, CIS
Azerbaijan,1972,, CIS
Azerbaijan,1973,, CIS
Azerbaijan,1974,, CIS
Azerbaijan,1975,, CIS
Azerbaijan,1976,, CIS
Azerbaijan,1977,, CIS
Azerbaijan,1978,, CIS
Azerbaijan,1979,, CIS
Azerbaijan,1980,, CIS
Azerbaijan,1981,, CIS
Azerbaijan,1982,, CIS
Azerbaijan,1983,, CIS
Azerbaijan,1984,, CIS
Azerbaijan,1985,273.52, CIS
Azerbaijan,1986,268.39, CIS
Azerbaijan,1987,285.67, CIS
Azerbaijan,1988,279.98, CIS
Azerbaijan,1989,268.21, CIS
Azerbaijan,1990,254.33, CIS
Azerbaijan,1991,239.72, CIS
Azerbaijan,1992,227.54, CIS
Azerbaijan,1993,207.4, CIS
Azerbaijan,1994,193.42, CIS
Azerbaijan,1995,185.07, CIS
Azerbaijan,1996,183.29, CIS
Azerbaijan,1997,182.31, CIS
Azerbaijan,1998,230.7, CIS
Azerbaijan,1999,278.72, CIS
Azerbaijan,2000,281.18, CIS
Azerbaijan,2001,300.16, CIS
Azerbaijan,2002,307.04, CIS
Azerbaijan,2003,307.93, CIS
Azerbaijan,2004,308.65, CIS
Azerbaijan,2005,444.92, CIS
Azerbaijan,2006,646.17, CIS
Azerbaijan,2007,875.53, CIS
Azerbaijan,2008,915.83, CIS
Azerbaijan,2009,1026.67, CIS
Azerbaijan,2010,1036.72, CIS
Azerbaijan,2011,932.08, CIS
Azerbaijan,2012,882.32, CIS
Azerbaijan,2013,888.38, CIS
Azerbaijan,2014,861.18, CIS
Azerbaijan,2015,850.85, CIS
Azerbaijan,2016,837.52, CIS
Azerbaijan,2017,791.89, CIS
Azerbaijan,2018,794.85, CIS
Kazakhstan,1965,, CIS
Kazakhstan,1966,, CIS
Kazakhstan,1967,, CIS
Kazakhstan,1968,, CIS
Kazakhstan,1969,, CIS
Kazakhstan,1970,, CIS
Kazakhstan,1971,, CIS
Kazakhstan,1972,, CIS
Kazakhstan,1973,, CIS
Kazakhstan,1974,, CIS
Kazakhstan,1975,, CIS
Kazakhstan,1976,, CIS
Kazakhstan,1977,, CIS
Kazakhstan,1978,, CIS
Kazakhstan,1979,, CIS
Kazakhstan,1980,, CIS
Kazakhstan,1981,, CIS
Kazakhstan,1982,, CIS
Kazakhstan,1983,, CIS
Kazakhstan,1984,, CIS
Kazakhstan,1985,484.77, CIS
Kazakhstan,1986,502.79, CIS
Kazakhstan,1987,523.06, CIS
Kazakhstan,1988,545.09, CIS
Kazakhstan,1989,556.39, CIS
Kazakhstan,1990,570.74, CIS
Kazakhstan,1991,588.68, CIS
Kazakhstan,1992,568.88, CIS
Kazakhstan,1993,507.36, CIS
Kazakhstan,1994,445.85, CIS
Kazakhstan,1995,450.44, CIS
Kazakhstan,1996,493.12, CIS
Kazakhstan,1997,556.87, CIS
Kazakhstan,1998,558.49, CIS
Kazakhstan,1999,655.63, CIS
Kazakhstan,2000,740.21, CIS
Kazakhstan,2001,841.49, CIS
Kazakhstan,2002,992.58, CIS
Kazakhstan,2003,1080.64, CIS
Kazakhstan,2004,1247.93, CIS
Kazakhstan,2005,1294.55, CIS
Kazakhstan,2006,1369.88, CIS
Kazakhstan,2007,1415.02, CIS
Kazakhstan,2008,1485.25, CIS
Kazakhstan,2009,1609.48, CIS
Kazakhstan,2010,1675.71, CIS
Kazakhstan,2011,1684.15, CIS
Kazakhstan,2012,1664.13, CIS
Kazakhstan,2013,1736.7, CIS
Kazakhstan,2014,1709.57, CIS
Kazakhstan,2015,1694.76, CIS
Kazakhstan,2016,1654.97, CIS
Kazakhstan,2017,1838.06, CIS
Kazakhstan,2018,1926.96, CIS
Other CIS,1965,0, CIS
Other CIS,1966,0, CIS
Other CIS,1967,0, CIS
Other CIS,1968,0, CIS
Other CIS,1969,0, CIS
Other CIS,1970,0, CIS
Other CIS,1971,0, CIS
Other CIS,1972,0, CIS
Other CIS,1973,0, CIS
Other CIS,1974,0, CIS
