country,type,year,inter_reg
Russia,Pipeline imports,2009,38.5
Russia,Total imports,2009,38.5
Russia,Pipeline exports,2009,189.64
Russia,of which: Europe,2009,167.42
Russia,Other CIS,2009,22.23
Russia,LNG exports,2009,6.84
Russia,Total exports,2009,196.48
Other CIS,Pipeline imports,2009,22.66
Other CIS,Total imports,2009,22.66
Other CIS,Pipeline exports,2009,51.51
Other CIS,of which: China,2009,0
Other CIS,Europe,2009,6.58
Other CIS,Middle East,2009,6.42
Other CIS,Russia,2009,38.5
Other CIS,Total exports,2009,51.51
Middle East,Pipeline imports,2009,9.13
Middle East,of which: Africa,2009,2.72
Middle East,Other CIS,2009,6.42
Middle East,LNG imports,2009,0.93
